2025-10-06 09:33:01 | ID: hdn0042616 | PDFアクセス: jishiritu.pdf | IP: 114.179.190.223 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2025-10-06 09:33:19 | ID: hdn0042616 | PDFアクセス: revenue.pdf | IP: 114.179.190.223 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2025-10-06 09:34:06 | ID: hdn0042616 | アクセス: videos4.php | IP: 114.179.190.223 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2025-10-06 09:34:59 | ID: hdn0096967 | アクセス: videos4.php | IP: 114.179.190.223 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 Edg/137.0.0.0
2025-10-06 09:35:27 | ID: hdn0042616 | PDFアクセス: sokuho_2025.pdf | IP: 114.179.190.223 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2025-10-06 09:36:08 | ID: hdn0136656 | PDFアクセス: revenue.pdf | IP: 114.179.190.223 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2025-10-06 09:37:38 | ID: hdn0136656 | PDFアクセス: sokuho_2025.pdf | IP: 114.179.190.223 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2025-10-06 09:38:19 | ID: hdn0136656 | PDFアクセス: sokuho_2025.pdf | IP: 114.179.190.223 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2025-10-06 09:38:51 | ID: hdn0142907 | PDFアクセス: sokuho_2025.pdf | IP: 114.179.190.231 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
2025-10-06 09:38:53 | ID: hdn0142907 | PDFアクセス: basic_1.pdf | IP: 114.179.190.231 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
